Anderson, Kay F. 
Aksnes, Odd G. 
Better, Cathy Drinkwater 
Brooks, Mark 
Brown, Naomi Y. 
Bullock, Owen 
Cabalona, Yvonne 
Chang, Yu 
Cichon, Melchor 
Clement, Rosa 
Coman, Sonia Cristina 
Cullen, William Jr.
Donleycott, Connie  
Fernandes, Raoul 
George, Barry  
Hall, Carolyn 
Hotham, Gary 
Howard, Elizabeth 
Kacian, Jim 
Karkow, Kirsty 
Kelly, Patrick 
Kocher, Philomene 
Lazar, Chaim 
Leong, J. B. 
Lippy, Burnell 
m., paul 
Major, Robert 
McClintock, Michael 
Moore, Lenard D. 
Murray, Jack 
Ness, Pamela Miller 
Noyes, H. F. 
Olson, Marian 
Ortiz, Victor 
Patchel, Christopher 
Porad, Francine 
Romano, Emily 
Shaw, Adelaide 
Shimizu, Kuniharu 
Simpson, Sandra 
Stevenson, John 
Steyn, Maria 
Stoller, Neca 
Tann, Hilary 
Villafania, Sonny 
Wicker, Nina 
Wigelius, Paul 
Wisdom, John W. 
Zackowitz, Cindy 
